test set 1:
predicted category, actual category, true_positive, score, gt confidence, lt confidence
1, 6, 0, 2.4142458, 0.926711668273867, 0.0
1, 1, 1, 2.5695343, 0.9266409266409267, 0.0
1, 10, 0, 2.5742812, 0.927536231884058, 0.5
1, 7, 0, 2.811696, 0.9284332688588007, 0.3333333333333333
1, 7, 0, 3.3135922, 0.9293320425943853, 0.25
1, 3, 0, 3.331567, 0.9302325581395349, 0.2
1, 4, 0, 3.5015562, 0.9311348205625606, 0.16666666666666666
1, 6, 0, 3.5722637, 0.9320388349514563, 0.14285714285714285
1, 1, 1, 3.8226256, 0.9319727891156463, 0.125
1, 1, 1, 3.922225, 0.9319066147859922, 0.2222222222222222
1, 9, 0, 4.047163, 0.9328140214216164, 0.3
1, 8, 0, 4.100087, 0.9337231968810916, 0.2727272727272727
1, 9, 0, 4.4192867, 0.9346341463414635, 0.25
1, 5, 0, 4.431158, 0.935546875, 0.23076923076923078
1, 6, 0, 4.510028, 0.9364613880742912, 0.21428571428571427
1, 9, 0, 4.688784, 0.9373776908023483, 0.2
1, 3, 0, 4.732671, 0.9382957884427032, 0.1875
1, 6, 0, 4.7495894, 0.9392156862745098, 0.17647058823529413
1, 3, 0, 4.7555156, 0.9401373895976447, 0.16666666666666666
1, 6, 0, 4.7876086, 0.9410609037328095, 0.15789473684210525
1, 10, 0, 4.8835897, 0.9419862340216323, 0.15
1, 4, 0, 5.008898, 0.9429133858267716, 0.14285714285714285
1, 4, 0, 5.021987, 0.9438423645320198, 0.13636363636363635
1, 9, 0, 5.025517, 0.9447731755424064, 0.13043478260869565
1, 6, 0, 5.045205, 0.945705824284304, 0.125
1, 5, 0, 5.1206675, 0.9466403162055336, 0.12
1, 1, 1, 5.127101, 0.9465875370919882, 0.11538461538461539
1, 9, 0, 5.1396775, 0.9475247524752475, 0.14814814814814814
1, 1, 1, 5.2113156, 0.9474727452923687, 0.14285714285714285
1, 7, 0, 5.223516, 0.9484126984126984, 0.1724137931034483
1, 4, 0, 5.251514, 0.9493545183714002, 0.16666666666666666
1, 1, 1, 5.2943373, 0.9493041749502982, 0.16129032258064516
1, 6, 0, 5.4059577, 0.9502487562189055, 0.1875
1, 7, 0, 5.407785, 0.951195219123506, 0.18181818181818182
1, 7, 0, 5.458145, 0.9521435692921236, 0.17647058823529413
1, 10, 0, 5.46268, 0.9530938123752495, 0.17142857142857143
1, 9, 0, 5.502906, 0.954045954045954, 0.16666666666666666
1, 5, 0, 5.527506, 0.955, 0.16216216216216217
1, 1, 1, 5.6007023, 0.954954954954955, 0.15789473684210525
1, 1, 1, 5.618339, 0.9549098196392786, 0.1794871794871795
1, 1, 1, 5.669457, 0.954864593781344, 0.2
1, 1, 1, 5.68762, 0.9548192771084337, 0.21951219512195122
1, 1, 1, 5.691412, 0.9547738693467337, 0.23809523809523808
1, 1, 1, 5.7278686, 0.954728370221328, 0.2558139534883721
1, 3, 0, 5.759691, 0.9556898288016112, 0.2727272727272727
1, 6, 0, 5.783614, 0.9566532258064516, 0.26666666666666666
1, 5, 0, 5.7933726, 0.9576185671039354, 0.2608695652173913
1, 1, 1, 5.8504972, 0.9575757575757575, 0.2553191489361702
